source,lat,lon,date,score,status
Castersen Seep,34.09059,-111.46653,2025-10-16,1.0,"Tons of water flowing down both creeks, plus there was a surprise seep seeping, tasted wonderful."
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2025-11-15,0.4,"Good flow down the falls, but puddles near the trail are dried up."
Hawaiian Mist,,,2025-11-15,0.2,"Small trickle across the trail, you could probably find a pool deep enough to pull from."
Castersen Seep,34.09059,-111.46653,2025-11-28,1.0,"Heavy flow down both creeks feeding into the area, water everywhere."
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2025-11-28,0.8,
Hawaiian Mist,,,2025-11-28,0.8,
Castersen Seep,34.09059,-111.46653,2025-12-06,0.8,"Lots of water, including along the feeder creeks."
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2025-12-06,0.8,"Still big flow, trail crossing is a little rock-hoppy."
Hawaiian Mist,,,2025-12-06,0.2,Slowing down.
Garden Seep,,,2026-05-15,0.0,At least along the trail.
Hawaiian Mist,,,2026-05-15,0.0,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2026-05-15,0.2,"Barely a trickle over the falls. Small stagnant pools under the falls above the trail."
Castersen Seep,34.09059,-111.46653,2026-05-15,0.4,"Several deep pools filled with good water, trickle going over the falls."
Hawaiian Mist,,,2026-06-30,0.0,
Castersen Seep,34.09059,-111.46653,2026-06-30,0.0,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2026-06-30,0.0,
Barks Canyon,,,2026-08-09,0.2,"Large, mostly fresh-looking pools. Not much of a trickle."
Bark at Dutchman Crossing,,,2026-08-09,0.2,Large pool of water below small drop
McFadden Horse Mtn Gully,,,2026-08-16,0.8,"Strong flow, echoing up the canyon."
Cienega Spring,,,2026-08-16,0.2,"drip-dripping. an few inches of clear water in the cement trough. the area around the spring was absolutely saturated."
